ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\utility\TaskUtility.cs,21,20,M:System.Windows.Threading.Dispatcher.Invoke(System.Action),,,,,comicsURLsList.Dispatcher.Invoke(() =>                      {                          comicsURLsList.Items.Add(url);                      });
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\Properties\Settings.Designer.cs,33,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""Options""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\Properties\Settings.Designer.cs,30,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((string)(this[""Options""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,342,12,T:System.Windows.Controls.ListView,,,,,this.hostList = ((System.Windows.Controls.ListView)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,336,12,T:System.Windows.Controls.ComboBox,,,,,this.settingCB.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.SettingCB_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,336,12,T:System.Windows.Controls.SelectionChangedEventHandler,,,,,this.settingCB.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.SettingCB_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,336,12,T:System.Windows.Controls.SelectionChangedEventHandler,,,,,this.settingCB.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.SettingCB_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,336,12,E:System.Windows.Controls.Primitives.Selector.SelectionChanged,,,,,this.settingCB.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.SettingCB_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,333,12,T:System.Windows.Controls.ComboBox,,,,,this.settingCB = ((System.Windows.Controls.ComboBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,327,12,T:System.Windows.Controls.Button,,,,,this.removeBtn.Click += new System.Windows.RoutedEventHandler(this.RemoveBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,327,12,T:System.Windows.RoutedEventHandler,,,,,this.removeBtn.Click += new System.Windows.RoutedEventHandler(this.RemoveBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,327,12,T:System.Windows.RoutedEventHandler,,,,,this.removeBtn.Click += new System.Windows.RoutedEventHandler(this.RemoveBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,327,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.removeBtn.Click += new System.Windows.RoutedEventHandler(this.RemoveBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,324,12,T:System.Windows.Controls.Button,,,,,this.removeBtn = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,318,12,T:System.Windows.Controls.Button,,,,,this.addBtn.Click += new System.Windows.RoutedEventHandler(this.AddBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,318,12,T:System.Windows.RoutedEventHandler,,,,,this.addBtn.Click += new System.Windows.RoutedEventHandler(this.AddBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,318,12,T:System.Windows.RoutedEventHandler,,,,,this.addBtn.Click += new System.Windows.RoutedEventHandler(this.AddBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,318,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.addBtn.Click += new System.Windows.RoutedEventHandler(this.AddBtn_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,315,12,T:System.Windows.Controls.Button,,,,,this.addBtn = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,312,12,T:System.Windows.Controls.TextBox,,,,,this.itemTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,306,12,T:System.Windows.Controls.Button,,,,,this.updataBTN.Click += new System.Windows.RoutedEventHandler(this.UpdateBTN_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,306,12,T:System.Windows.RoutedEventHandler,,,,,this.updataBTN.Click += new System.Windows.RoutedEventHandler(this.UpdateBTN_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,306,12,T:System.Windows.RoutedEventHandler,,,,,this.updataBTN.Click += new System.Windows.RoutedEventHandler(this.UpdateBTN_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,306,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.updataBTN.Click += new System.Windows.RoutedEventHandler(this.UpdateBTN_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,303,12,T:System.Windows.Controls.Button,,,,,this.updataBTN = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,300,12,T:System.Windows.Controls.Label,,,,,this.periodLBL = ((System.Windows.Controls.Label)(target));
